sickCd,sickNm,sickEngNm
A058,기타 명시된 세균성 식중독,Other specified bacterial foodborne intoxications
A059,상세불명의 세균성 식중독,"Bacterial foodborne intoxication, unspecified"
A06,아메바증,Amoebiasis
A060,급성 아메바이질,Acute amoebic dysentery
A061,만성 장아메바증,Chronic intestinal amoebiasis
A062,아메바성 비이질성 결장염,Amoebic nondysenteric colitis
A063,장의 아메바종,Amoeboma of intestine
A064,아메바성 간농양(K77.0*),Amoebic liver abscess(K77.0*)
A065,아메바성 폐농양,Amoebic lung abscess
A066,아메바성 뇌농양(G07*),Amoebic brain abscess(G07*)
A067,피부아메바증,Cutaneous amoebiasis
A068,기타 부위의 아메바성 감염,Amoebic infection of other sites
A069,상세불명의 아메바증,"Amoebiasis, unspecified"
A07,기타 원충성 장질환,Other protozoal intestinal diseases
A070,대장섬모충증,Balantidiasis
A071,편모충증[람블편모충증],Giardiasis [lambliasis]
A072,와포자충증,Cryptosporidiosis
A073,등포자충증,Isosporiasis
A078,기타 명시된 원충성 장질환,Other specified protozoal intestinal diseases
A079,상세불명의 원충성 장질환,"Protozoal intestinal disease, unspecified"
A08,바이러스성 및 기타 명시된 장감염,Viral and other specified intestinal infections
A080,로타바이러스장염,Rotaviral enteritis
A081,노로바이러스에 의한 급성 위장병증,Acute gastroenteropathy due to Norovirus
A082,아데노바이러스장염,Adenoviral enteritis
A083,기타 바이러스장염,Other viral enteritis
A084,상세불명의 바이러스성 장감염,"Viral intestinal infection, unspecified"
A085,기타 명시된 장감염,Other specified intestinal infections
A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,Other gastroenteritis and colitis of infectious and unspecified origin
A090,감염성 기원의 기타 및 상세불명의 위장염 및 결장염,Other and unspecified gastroenteritis and colitis of infectious origin
A099,상세불명 기원의 위장염 및 결장염,Gastroenteritis and colitis of unspecified origin
A15,세균학적 및 조직학적으로 확인된 호흡기결핵,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A150,배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
A151,배양만으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by culture only"
A152,조직학적으로 확인된 폐결핵,"Tuberculosis of lung, confirmed histologically"
A153,상세불명의 수단으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by unspecified means"
A154,세균학적 및 조직학적으로 확인된 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
A155,"세균학적 및 조직학적으로 확인된 후두, 기관 및 기관지의 결핵","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A156,세균학적 및 조직학적으로 확인된 결핵성 흉막염,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
A157,세균학적 및 조직학적으로 확인된 일차호흡기결핵,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
A158,세균학적 및 조직학적으로 확인된 기타 호흡기결핵,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
A159,세균학적 및 조직학적으로 확인된 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
A16,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
A160,세균학적 및 조직학적으로 음성인 폐결핵,"Tuberculosis of lung, bacteriologically and histologically negative"
A161,세균학적 및 조직학적 검사를 하지 않은 폐결핵,"Tuberculosis of lung, bacteriological and histological examination not done"
A162,세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
A163,세균학적 또는 조직학적 확인에 대한 언급이 없는 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
A164,"세균학적 또는 조직학적 확인에 대한 언급이 없는 후두, 기관 및 기관지 결핵","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
A165,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
A167,세균학적 또는 조직학적 확인에 대한 언급이 없는 일차호흡기결핵,"Primary respiratory tuberculosis , without mention of bacteriological or histological confirmation"
A168,세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A169,세균학적 또는 조직학적 확인에 대한 언급이 없는 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
A17,신경계통의 결핵,Tuberculosis of nervous system
A170,결핵성 수막염(G01*),Tuberculous meningitis(G01*)
A171,수막결핵종(G07*),Meningeal tuberculoma(G07*)
A178,기타 신경계통의 결핵,Other tuberculosis of nervous system
A179,신경계통의 상세불명 결핵(G99.8*),"Tuberculosis of nervous system, unspecified(G99.8*)"
A18,기타 기관의 결핵,Tuberculosis of other organs
A180,골 및 관절의 결핵,Tuberculosis of bones and joints
A181,비뇨생식계통의 결핵,Tuberculosis of genitourinary system
A182,결핵성 말초림프절병증,Tuberculous peripheral lymphadenopathy
A183,"장, 복막 및 장간막 림프절의 결핵","Tuberculosis of intestines, peritoneum and mesenteric glands"
A184,피부 및 피하조직의 결핵,Tuberculosis of skin and subcutaneous tissue
A185,눈의 결핵,Tuberculosis of eye
A186,귀의 결핵,Tuberculosis of ear
A187,부신의 결핵(E35.1*),Tuberculosis of adrenal glands(E35.1*)
A188,기타 명시된 기관의 결핵,Tuberculosis of other specified organs
A19,좁쌀결핵,Miliary tuberculosis
A190,하나로 명시된 부위의 급성 좁쌀결핵,Acute miliary tuberculosis of a single specified site
A191,여러 부위의 급성 좁쌀결핵,Acute miliary tuberculosis of multiple sites
A192,상세불명의 급성 좁쌀결핵,"Acute miliary tuberculosis, unspecified"
A198,기타 좁쌀결핵,Other miliary tuberculosis
A199,상세불명의 좁쌀결핵,"Miliary tuberculosis, unspecified"
A20,페스트,Plague
A200,림프절형페스트,Bubonic plague
A201,연조직피부형페스트,Cellulocutaneous plague
A202,폐렴형페스트,Pneumonic plague
A203,페스트수막염,Plague meningitis
A207,패혈증형페스트,Septicaemic plague
A208,기타 형태의 페스트,Other forms of plague
A209,상세불명의 페스트,"Plague, unspecified"
A21,야생토끼병,Tularaemia
A210,궤양림프절야생토끼병,Ulceroglandular tularaemia
A211,눈림프절야생토끼병,Oculoglandular tularaemia
A212,폐야생토끼병,Pulmonary tularaemia
A213,위장야생토끼병,Gastrointestinal tularaemia
A217,전신야생토끼병,Generalized tularaemia
A218,기타 형태의 야생토끼병,Other forms of tularaemia
A219,상세불명의 야생토끼병,"Tularaemia, unspecified"
A22,탄저병,Anthrax
A220,피부탄저병,Cutaneous anthrax
A221,폐탄저병,Pulmonary anthrax
A222,위장탄저병,Gastrointestinal anthrax
A227,탄저병패혈증,Anthrax sepsis
A228,기타 형태의 탄저병,Other forms of anthrax
A229,상세불명의 탄저병,"Anthrax, unspecified"
A23,브루셀라병,Brucellosis
A230,브루셀라 멜리텐시스에 의한 브루셀라병,Brucellosis due to Brucella melitensis
A231,브루셀라 아보르투스에 의한 브루셀라병,Brucellosis due to Brucella abortus
A232,브루셀라 수이스에 의한 브루셀라병,Brucellosis due to Brucella suis
A233,브루셀라 카니스에 의한 브루셀라병,Brucellosis due to Brucella canis
A238,기타 브루셀라병,Other brucellosis
A239,상세불명의 브루셀라병,"Brucellosis, unspecified"
A24,마비저 및 유사비저,Glanders and Melioidosis
A240,마비저,Glanders
A241,급성 및 전격성 유사비저,Acute and fulminating melioidosis
A242,아급성 및 만성 유사비저,Subacute and chronic melioidosis
A243,기타 유사비저,Other melioidosis
A244,상세불명의 유사비저,"Melioidosis, unspecified"
A25,쥐물음열,Rat-bite fevers
A250,스피릴룸증,Spirillosis
A251,연쇄막대균증,Streptobacillosis
A259,상세불명의 쥐물음열,"Rat-bite fever, unspecified"
A26,유사단독,Erysipeloid
A260,피부유사단독,Cutaneous erysipeloid
A267,에리시펠로트릭스 패혈증,Erysipelothrix sepsis
A268,기타 형태의 유사단독,Other forms of erysipeloid
A269,상세불명의 유사단독,"Erysipeloid, unspecified"
A27,렙토스피라병,Leptospirosis
A270,황달출혈성 렙토스피라병,Leptospirosis icterohaemorrhagica
A278,기타 형태의 렙토스피라병,Other forms of leptospirosis
A279,상세불명의 렙토스피라병,"Leptospirosis, unspecified"
A28,달리 분류되지 않은 기타 동물매개의 세균성 질환,"Other zoonotic bacterial diseases, NEC"
A280,파스퇴렐라증,Pasteurellosis
A281,고양이할큄병,Cat-scratch disease
A282,장외예르시니아증,Extraintestinal yersiniosis
A288,달리 분류되지 않은 기타 명시된 동물매개의 세균성 질환,"Other specified zoonotic bacterial diseases, NEC"
A289,상세불명의 동물매개의 세균성 질환,"Zoonotic bacterial disease, unspecified"
A30,나병[한센병],Leprosy[Hansen’s disease]
A300,부정나병,Indeterminate leprosy
A301,결핵모양나병,Tuberculoid leprosy
A302,경계결핵모양나병,Borderline tuberculoid leprosy
A303,경계나병,Borderline leprosy
A304,경계나병종나병,Borderline lepromatous leprosy
A305,나병종나병,Lepromatous leprosy
A308,기타 형태의 나병,Other forms of leprosy
A309,상세불명의 나병,"Leprosy, unspecified"
A31,기타 형태의 마이코박테리아에 의한 감염,Infection due to other mycobacteria
A310,폐마이코박테리아감염,Pulmonary mycobacterial infection
A311,피부마이코박테리아감염,Cutaneous mycobacterial infection
A318,기타 마이코박테리아감염,Other mycobacterial infections
A319,상세불명의 마이코박테리아감염,"Mycobacterial infection, unspecified"
A32,리스테리아증,Listeriosis
A320,피부리스테리아증,Cutaneous listeriosis
A321,리스테리아 수막염 및 수막뇌염,Listerial meningitis and meningoencephalitis
A327,리스테리아패혈증,Listerial sepsis
A328,기타 형태의 리스테리아증,Other forms of listeriosis
A329,상세불명의 리스테리아증,"Listeriosis, unspecified"
A33,신생아파상풍,Tetanus neonatorum
A34,산과적 파상풍,Obstetrical tetanus
A35,기타 파상풍,Other tetanus
A36,디프테리아,Diphtheria
A360,인두디프테리아,Pharyngeal diphtheria
A361,비인두디프테리아,Nasopharyngeal diphtheria
A362,후두디프테리아,Laryngeal diphtheria
A363,피부디프테리아,Cutaneous diphtheria
A368,기타 디프테리아,Other diphtheria
A369,상세불명의 디프테리아,"Diphtheria, unspecified"
A37,백일해,Whooping cough
A370,보르데텔라 페르투시스에 의한 백일해,Whooping cough due to bordetella pertussis
A371,보르데텔라 파라페르투시스에 의한 백일해,Whooping cough due to bordetella para-pertussis
A378,기타 보르데텔라균에 의한 백일해,Whooping cough due to other bordetella species
A379,상세불명의 백일해,"Whooping cough, unspecified"
A38,성홍열,Scarlet fever
A39,수막알균감염,Meningococcal infection
A390,수막알균수막염(G01*),Meningococcal meningitis(G01*)
A391,워터하우스-프리데릭센증후군(E35.1*),Waterhouse-Friderichsen syndrome(E35.1*)
A392,급성 수막알균혈증,Acute meningococcaemia
A393,만성 수막알균혈증,Chronic meningococcaemia
A394,상세불명의 수막알균혈증,"Meningococcaemia, unspecified"
A395,수막알균성 심장병,Meningococcal heart disease
A398,기타 수막알균감염,Other meningococcal infections
A399,상세불명의 수막알균감염,"Meningococcal infection, unspecified"
A40,연쇄알균패혈증,Streptococcal sepsis
A400,연쇄알균A군에 의한 패혈증,"Sepsis due to streptococcus, group A"
A401,연쇄알균B군에 의한 패혈증,"Sepsis due to streptococcus, group B"
A402,연쇄알균D군 및 장알균에 의한 패혈증,"Sepsis due to streptococcus, group D and enterococcus"
A403,폐렴연쇄알균에 의한 패혈증,Sepsis due to Streptococcus pneumoniae
A408,기타 연쇄알균패혈증,Other streptococcal sepsis
A409,상세불명의 연쇄알균패혈증,"Streptococcal sepsis, unspecified"
A41,기타 패혈증,Other sepsis
A410,황색포도알균에 의한 패혈증,Sepsis due to Staphylococcus aureus
A411,기타 명시된 포도알균에 의한 패혈증,Sepsis due to other specified staphylococcus
A412,상세불명의 포도알균에 의한 패혈증,Sepsis due to unspecified staphylococcus
A413,인플루엔자균에 의한 패혈증,Sepsis due to Haemophilus influenzae
A414,무산소균에 의한 패혈증,Sepsis due to anaerobes
A415,기타 그람음성균에 의한 패혈증,Sepsis due to other Gram-negative organisms
A418,기타 명시된 패혈증,Other specified sepsis
A419,상세불명의 패혈증,"Sepsis, unspecified"
A42,방선균증,Actinomycosis
A420,폐방선균증,Pulmonary actinomycosis
A421,복부방선균증,Abdominal actinomycosis
A422,목얼굴방선균증,Cervicofacial actinomycosis
A427,방선균패혈증,Actinomycotic sepsis
A428,기타 형태의 방선균증,Other forms of actinomycosis
A429,상세불명의 방선균증,"Actinomycosis, unspecified"
A43,노카르디아증,Nocardiosis
A430,폐노카르디아증,Pulmonary nocardiosis
A431,피부노카르디아증,Cutaneous nocardiosis
A438,기타 형태의 노카르디아증,Other forms of nocardiosis
A439,상세불명의 노카르디아증,"Nocardiosis, unspecified"
A44,바르토넬라병,Bartonellosis
A440,전신바르토넬라병,Systemic bartonellosis
A441,피부 및 점막피부 바르토넬라병,Cutaneous and mucocutaneous bartonellosis
A448,기타 형태의 바르토넬라병,Other forms of bartonellosis
A449,상세불명의 바르토넬라병,"Bartonellosis, unspecified"
A46,단독(丹毒),Erysipelas
A48,달리 분류되지 않은 기타 세균성 질환,"Other bacterial diseases, NEC"
A480,가스괴저,Gas gangrene
A481,레지오넬라병,Legionnaires’ disease
A482,비폐렴성 레지오넬라병[폰티액열],Nonpneumonic Legionnaires’ disease [Pontiac fever]
A483,독성쇼크증후군,Toxic shock syndrome
A484,브라질자반열,Brazilian purpuric fever
A488,기타 명시된 세균성 질환,Other specified bacterial diseases
A49,상세불명 부위의 세균감염,Bacterial infection of unspecified site
A490,상세불명 부위의 포도알균감염,"Staphylococcal infection, unspecified site"
A491,상세불명 부위의 연쇄알균 및 장내알균 감염,"Streptococcal and enterococcal infection, unspecified site"
A492,상세불명 부위의 인플루엔자균감염,"Haemophilus influenzae infection, unspecified site"
A493,상세불명 부위의 마이코플라스마감염,"Mycoplasma infection, unspecified site"
A498,상세불명 부위의 기타 세균감염,Other bacterial infections of unspecified site
A499,상세불명의 세균감염,"Bacterial infection, unspecified"
A50,선천매독,Congenital syphilis
A500,증상성 조기선천매독,"Early congenital syphilis, symptomatic"
A501,잠복성 조기선천매독,"Early congenital syphilis, latent"
A502,상세불명의 조기선천매독,"Early congenital syphilis, unspecified"
A503,만기 선천매독성 눈병증,Late congenital syphilitic oculopathy
A504,만기 선천성 신경매독[연소성 신경매독],Late congenital neurosyphilis [juvenile neurosyphilis]
A505,기타 증상성 만기선천매독,"Other late congenital syphilis, symptomatic"
A506,잠복성 만기선천매독,"Late congenital syphilis, latent"
A507,상세불명의 만기선천매독,"Late congenital syphilis, unspecified"
A509,상세불명의 선천매독,"Congenital syphilis, unspecified"
A51,조기매독,Early syphilis
A510,생식기의 일차매독,Primary genital syphilis
A511,항문의 일차매독,Primary anal syphilis
A512,기타 부위의 일차매독,Primary syphilis of other sites
A513,피부 및 점막의 이차매독,Secondary syphilis of skin and mucous membranes
A514,기타 이차매독,Other secondary syphilis
A515,잠복성 조기매독,"Early syphilis, latent"
A519,상세불명의 조기매독,"Early syphilis, unspecified"
A52,만기매독,Late syphilis
A520,심혈관매독,Cardiovascular syphilis
A521,증상성 신경매독,Symptomatic neurosyphilis
A522,무증상신경매독,Asymptomatic neurosyphilis
A523,상세불명의 신경매독,"Neurosyphilis, unspecified"
A527,기타 증상성 만기매독,Other symptomatic late syphilis
A528,잠복성 만기매독,"Late syphilis, latent"
A529,상세불명의 만기매독,"Late syphilis, unspecified"
A53,기타 및 상세불명의 매독,Other and unspecified syphilis
A530,조기인지 만기인지 상세불명의 잠복매독,"Latent syphilis, unspecified as early or late"
A539,상세불명의 매독,"Syphilis, unspecified"
A54,임균감염,Gonococcal infection
A540,요도주위 또는 부속선에 농양이 없는 하부 비뇨생식관의 임균감염,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A541,요도주위 및 부속선에 농양이 있는 하부 비뇨생식관의 임균감염,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A542,임균성 골반복막염 및 기타 임균성 비뇨생식기감염,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
A543,눈의 임균감염,Gonococcal infection of eye
A544,근골격계통의 임균감염,Gonococcal infection of musculoskeletal system
A545,임균인두염,Gonococcal pharyngitis
A546,항문 및 직장의 임균감염,Gonococcal infection of anus and rectum
A548,기타 임균감염,Other gonococcal infections
A549,상세불명의 임균감염,"Gonococcal infection, unspecified"
A55,클라미디아림프육아종(성병성),Chlamydial lymphogranuloma(venereum)
A56,기타 성행위로 전파되는 클라미디아질환,Other sexually transmitted chlamydial diseases
A560,하부비뇨생식관의 클라미디아감염,Chlamydial infection of lower genitourinary tract
A561,골반복막 및 기타 비뇨생식기관의 클라미디아감염,Chlamydial infection of pelviperitoneum and other genitourinary organs
A562,상세불명의 비뇨생식관의 클라미디아감염,"Chlamydial infection of genitourinary tract, unspecified"
A563,항문 및 직장의 클라미디아감염,Chlamydial infection of anus and rectum
A564,인두의 클라미디아감염,Chlamydial infection of pharynx
A568,기타 부위의 성행위로 전파되는 클라미디아감염,Sexually transmitted chlamydial infection of other sites
A57,무른궤양,Chancroid
A58,사타구니육아종,Granuloma inguinale
A59,편모충증,Trichomoniasis
A590,비뇨생식기의 편모충증,Urogenital trichomoniasis
A598,기타 부위의 편모충증,Trichomoniasis of other sites
A599,상세불명의 편모충증,"Trichomoniasis, unspecified"
A60,항문생식기의 헤르페스바이러스[단순헤르페스]감염,Anogenital herpesviral [herpes simplex] infection
A600,생식기 및 비뇨생식관의 헤르페스바이러스감염,Herpesviral infection of genitalia and urogenital tract
A601,항문주위피부 및 직장의 헤르페스바이러스감염,Herpesviral infection of perianal skin and rectum
A609,상세불명의 항문생식기의 헤르페스바이러스감염,"Anogenital herpesviral infection, unspecified"
A63,달리 분류되지 않은 기타 주로 성행위로 전파되는 질환,"Other predominantly sexually transmitted diseases, NEC"
A630,항문생식기의(성병성) 사마귀,Anogenital(venereal) warts
A638,기타 명시된 주로 성행위로 전파되는 질환,Other specified predominantly sexually transmitted diseases
A64,상세불명의 성매개질환,Unspecified sexually transmitted disease
A65,비성병성 매독,Nonvenereal syphilis
A66,요스,Yaws
A660,요스의 초기병변,Initial lesions of yaws
A661,다발성 유두종 및 습성 요스,Multiple papillomata and wet crab yaws
A662,기타 요스의 조기피부병변,Other early skin lesions of yaws
A663,요스의 과각화증,Hyperkeratosis of yaws
A664,요스의 고무종 및 궤양,Gummata and ulcers of yaws
A665,강고사,Gangosa
A666,요스의 골 및 관절 병변,Bone and joint lesions of yaws
A667,기타 요스의 증상,Other manifestations of yaws
A668,잠복요스,Latent yaws
A669,상세불명의 요스,"Yaws, unspecified"
A67,핀타,Pinta[carate]
A670,핀타의 일차병변,Primary lesions of pinta
A671,핀타의 중간병변,Intermediate lesions of pinta
A672,핀타의 만기병변,Late lesions of pinta
A673,핀타의 혼합병변,Mixed lesions of pinta
A679,상세불명의 핀타,"Pinta, unspecified"
A68,재귀열,Relapsing fevers
A680,이매개 재귀열,Louse-borne relapsing fever
A681,진드기매개 재귀열,Tick-borne relapsing fever
A689,상세불명의 재귀열,"Relapsing fever, unspecified"
A69,기타 스피로헤타감염,Other spirochaetal infections
A690,괴사궤양성 구내염,Necrotizing ulcerative stomatitis
A691,기타 뱅상감염,Other Vincent’s infections
A692,라임병,Lyme disease
A698,기타 명시된 스피로헤타감염,Other specified spirochaetal infections
A699,상세불명의 스피로헤타감염,"Spirochaetal infection, unspecified"
A70,클라미디아 시타시 감염,Chlamydia psittaci infection
A71,트라코마,Trachoma
A710,트라코마의 초기,Initial stage of trachoma
A711,트라코마의 활동기,Active stage of trachoma
A719,상세불명의 트라코마,"Trachoma, unspecified"
A74,클라미디아에 의한 기타 질환,Other diseases caused by chlamydiae
A740,클라미디아결막염(H13.1*),Chlamydial conjunctivitis(H13.1*)
A748,기타 클라미디아질환,Other chlamydial diseases
A749,상세불명의 클라미디아감염,"Chlamydial infection, unspecified"
A75,발진티푸스,Typhus fever
A750,리케차 프로와제키에 의한 유행성 이매개발진티푸스,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A751,재발성 발진티푸스[브릴병],Recrudescent typhus [Brill’s disease]
A752,리케차 티피에 의한 발진티푸스,Typhus fever due to Rickettsia typhi
A753,리케차 쯔쯔가무시에 의한 발진티푸스,Typhus fever due to Rickettsia tsutsugamushi
A759,상세불명의 발진티푸스,"Typhus fever, unspecified"
A77,홍반열[진드기매개 리케차병],Spotted fever [tick-borne rickettsioses]
A770,리케차 리케치에 의한 홍반열,Spotted fever due to Rickettsia rickettsii
A771,리케차 코노리에 의한 홍반열,Spotted fever due to Rickettsia conorii
A772,리케차 시베리카에 의한 홍반열,Spotted fever due to Rickettsia siberica
A773,리케차 오스트랄리스에 의한 홍반열,Spotted fever due to Rickettsia australis
A778,기타 홍반열,Other spotted fevers
A779,상세불명의 홍반열,"Spotted fever, unspecified"
A78,큐열,Q fever
A79,기타 리케차병,Other rickettsioses
A790,참호열,Trench fever
A791,리케차 아카리에 의한 리케차폭스,Rickettsialpox due to Rickettsia akari
A798,기타 명시된 리케차병,Other specified rickettsioses
A799,상세불명의 리케차병,"Rickettsiosis, unspecified"
A80,급성 회색질척수염,Acute poliomyelitis
A800,백신 관련 급성 마비성 회색질척수염,"Acute paralytic poliomyelitis, vaccine-associated"
A801,수입된 야생형바이러스에 의한 급성 마비성 회색질척수염,"Acute paralytic poliomyelitis, wild virus, imported"
A802,토착성 야생형바이러스에 의한 급성 마비성 회색질척수염,"Acute paralytic poliomyelitis, wild virus, indigenous"
A803,기타 및 상세불명의 급성 마비성 회색질척수염,"Acute paralytic poliomyelitis, other and unspecified"
A804,급성 비마비성 회색질척수염,Acute nonparalytic poliomyelitis
A809,상세불명의 급성 회색질척수염,"Acute poliomyelitis, unspecified"
A81,중추신경계통의 비정형바이러스감염,Atypical virus infections of central nervous system
A810,크로이츠펠트-야콥병,Creutzfeldt-Jakob disease
A811,아급성 경화성 범뇌염,Subacute sclerosing panencephalitis
A812,진행성 다초점백질뇌병증,Progressive multifocal leukoencephalopathy
A818,중추신경계통의 기타 비정형바이러스감염,Other atypical virus infections of central nervous system
A819,중추신경계통의 상세불명의 비정형바이러스감염,"Atypical virus infection of central nervous system, unspecified"
A82,광견병,Rabies
A820,삼림형광견병,Sylvatic rabies
A821,도시형광견병,Urban rabies
A829,상세불명의 광견병,"Rabies, unspecified"
A83,모기매개바이러스뇌염,Mosquito-borne viral encephalitis
A830,일본뇌염,Japanese encephalitis
A831,서부말뇌염,Western equine encephalitis
A832,북미동부말뇌염,Eastern equine encephalitis
A833,세인트루이스뇌염,St. Louis encephalitis
A834,오스트랄리아뇌염,Australian encephalitis
A835,캘리포니아뇌염,California encephalitis
A836,로시오바이러스병,Rocio virus disease
A838,기타 모기매개바이러스뇌염,Other mosquito-borne viral encephalitis
A839,상세불명의 모기매개바이러스뇌염,"Mosquito-borne viral encephalitis, unspecified"
A84,진드기매개바이러스뇌염,Tick-borne viral encephalitis
A840,극동진드기매개뇌염[러시아봄여름뇌염],Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A841,중앙유럽진드기매개뇌염,Central European tick-borne encephalitis
A848,기타 진드기매개바이러스뇌염,Other tick-borne viral encephalitis
A849,상세불명의 진드기매개바이러스뇌염,"Tick-borne viral encephalitis, unspecified"
A85,달리 분류되지 않은 기타 바이러스뇌염,"Other viral encephalitis, NEC"
A850,엔테로바이러스뇌염(G05.1*),Enteroviral encephalitis(G05.1*)
A851,아데노바이러스뇌염(G05.1*),Adenoviral encephalitis(G05.1*)
A852,상세불명의 절지동물매개바이러스뇌염,"Arthropod-borne viral encephalitis, unspecified"
A858,기타 명시된 바이러스뇌염,Other specified viral encephalitis
A86,상세불명의 바이러스뇌염,Unspecified viral encephalitis
A87,바이러스수막염,Viral meningitis
A870,엔테로바이러스수막염(G02.0*),Enteroviral meningitis(G02.0*)
A871,아데노바이러스수막염(G02.0*),Adenoviral meningitis(G02.0*)
A872,림프구성 맥락수막염,Lymphocytic choriomeningitis
A878,기타 바이러스수막염,Other viral meningitis
A879,상세불명의 바이러스수막염,"Viral meningitis, unspecified"
A88,달리 분류되지 않은 중추신경계통의 기타 바이러스감염,"Other viral infections of central nervous system, NEC"
A880,엔테로바이러스발진열[보스톤발진],Enteroviral exanthematous fever [Boston exanthem]
A881,유행성 현기증,Epidemic vertigo
A888,중추신경계통의 기타 명시된 바이러스감염,Other specified viral infections of central nervous system
A89,중추신경계통의 상세불명의 바이러스감염,Unspecified viral infection of central nervous system
A90,뎅기열[고전적 뎅기],Dengue fever [classical dengue]
A91,뎅기출혈열,DENGUE HAEMORRHAGIC FEVER
A92,기타 모기매개바이러스열,Other mosquito-borne viral fevers
A920,치쿤구니아바이러스병,Chikungunya viral disease
A921,오뇽뇽열,O’nyong-nyong fever
A922,베네주엘라말열,Venezuelan equine fever
A923,웨스트나일바이러스감염,West Nile virus infection
A924,리프트밸리열,Rift valley fever
